k,strategy,words,representation_unique,representation_collision_entries,representation_collision_rate,representation_collision_pairs,representation_max_group,hash,hash_unique,hash_collision_entries,hash_collision_rate,hash_collision_pairs,hash_max_group,hashes_per_second
6,SUFFIX,466550,189260,277290,0.594341442503483,18244102,2694,FNV1A64,189260,277290,0.594341442503483,18244102,2694,1334969.4728350951
6,SUFFIX,466550,189260,277290,0.594341442503483,18244102,2694,MURMUR3_64,189260,277290,0.594341442503483,18244102,2694,3565563.5177682815
6,SUFFIX,466550,189260,277290,0.594341442503483,18244102,2694,XXHASH64,189260,277290,0.594341442503483,18244102,2694,4030606.101396357
6,HPSS,466550,250828,215722,0.46237702282713533,3999078,592,HPSS_POSITIONAL,250828,215722,0.46237702282713533,3999078,592,1569558.466198128
6,HPSS,466550,250828,215722,0.46237702282713533,3999078,592,FNV1A64,250828,215722,0.46237702282713533,3999078,592,1323479.1744212236
6,HPSS,466550,250828,215722,0.46237702282713533,3999078,592,MURMUR3_64,250828,215722,0.46237702282713533,3999078,592,3549698.252067547
6,HPSS,466550,250828,215722,0.46237702282713533,3999078,592,XXHASH64,250828,215722,0.46237702282713533,3999078,592,4034107.547068934
6,MIDDLE,466550,279479,187071,0.4009666702389883,759469,152,HPSS_POSITIONAL,279479,187071,0.4009666702389883,759469,152,1568361.5538118829
6,MIDDLE,466550,279479,187071,0.4009666702389883,759469,152,FNV1A64,279479,187071,0.4009666702389883,759469,152,1338792.1772507185
6,MIDDLE,466550,279479,187071,0.4009666702389883,759469,152,MURMUR3_64,279479,187071,0.4009666702389883,759469,152,3564982.1632479466
6,MIDDLE,466550,279479,187071,0.4009666702389883,759469,152,XXHASH64,279479,187071,0.4009666702389883,759469,152,4039613.3376044733
8,PREFIX,466550,325545,141005,0.30222912871074914,546516,139,HPSS_POSITIONAL,325545,141005,0.30222912871074914,546516,139,1273252.040478198
8,PREFIX,466550,325545,141005,0.30222912871074914,546516,139,FNV1A64,325545,141005,0.30222912871074914,546516,139,1075777.6385073846
8,PREFIX,466550,325545,141005,0.30222912871074914,546516,139,MURMUR3_64,325545,141005,0.30222912871074914,546516,139,3546241.7150053126
8,PREFIX,466550,325545,141005,0.30222912871074914,546516,139,XXHASH64,325545,141005,0.30222912871074914,546516,139,4008754.24973707
8,SUFFIX,466550,333801,132749,0.2845332761761869,2527296,952,HPSS_POSITIONAL,333801,132749,0.2845332761761869,2527296,952,1253308.7027384841
8,SUFFIX,466550,333801,132749,0.2845332761761869,2527296,952,FNV1A64,333801,132749,0.2845332761761869,2527296,952,1071944.9248548355
8,SUFFIX,466550,333801,132749,0.2845332761761869,2527296,952,MURMUR3_64,333801,132749,0.2845332761761869,2527296,952,3527476.3148326576
8,SUFFIX,466550,333801,132749,0.2845332761761869,2527296,952,XXHASH64,333801,132749,0.2845332761761869,2527296,952,3996329.9035639213
8,HPSS,466550,392351,74199,0.1590376165469939,498441,355,HPSS_POSITIONAL,392351,74199,0.1590376165469939,498441,355,1268417.3147390508
8,HPSS,466550,392351,74199,0.1590376165469939,498441,355,FNV1A64,392351,74199,0.1590376165469939,498441,355,1074124.442557409
8,HPSS,466550,392351,74199,0.1590376165469939,498441,355,MURMUR3_64,392351,74199,0.1590376165469939,498441,355,3511549.0977450307
